"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 01:05:00","EST","LONGIL",61762,2022.9
"12/13/2019 01:05:00","EST","MHK VL",61756,890.5
"12/13/2019 01:05:00","EST","MILLWD",61759,322.5
"12/13/2019 01:05:00","EST","N.Y.C.",61761,4951.2
"12/13/2019 01:05:00","EST","NORTH",61755,603.9
"12/13/2019 01:05:00","EST","WEST",61752,1576.4
"12/13/2019 01:10:00","EST","CAPITL",61757,1246.1
"12/13/2019 01:10:00","EST","CENTRL",61754,1741.9
"12/13/2019 01:10:00","EST","DUNWOD",61760,566.9
"12/13/2019 01:10:00","EST","GENESE",61753,1033.3
"12/13/2019 01:10:00","EST","HUD VL",61758,1015.8
"12/13/2019 01:10:00","EST","LONGIL",61762,2002.6
"12/13/2019 01:10:00","EST","MHK VL",61756,890.7
"12/13/2019 01:10:00","EST","MILLWD",61759,321.3
"12/13/2019 01:10:00","EST","N.Y.C.",61761,4919.6
"12/13/2019 01:10:00","EST","NORTH",61755,598.5
"12/13/2019 01:10:00","EST","WEST",61752,1565.3
"12/13/2019 01:15:00","EST","CAPITL",61757,1237.8
"12/13/2019 01:15:00","EST","CENTRL",61754,1706.6
"12/13/2019 01:15:00","EST","DUNWOD",61760,572.3
"12/13/2019 01:15:00","EST","GENESE",61753,1028.1
"12/13/2019 01:15:00","EST","HUD VL",61758,1002.6
"12/13/2019 01:15:00","EST","LONGIL",61762,1989.4
"12/13/2019 01:15:00","EST","MHK VL",61756,879.1
"12/13/2019 01:15:00","EST","MILLWD",61759,314.5
"12/13/2019 01:15:00","EST","N.Y.C.",61761,4915.5
"12/13/2019 01:15:00","EST","NORTH",61755,613.7
"12/13/2019 01:15:00","EST","WEST",61752,1572.2
"12/13/2019 01:20:00","EST","CAPITL",61757,1232.1
"12/13/2019 01:20:00","EST","CENTRL",61754,1700.2
"12/13/2019 01:20:00","EST","DUNWOD",61760,574
"12/13/2019 01:20:00","EST","GENESE",61753,1032.4
"12/13/2019 01:20:00","EST","HUD VL",61758,991.8
"12/13/2019 01:20:00","EST","LONGIL",61762,1987.4
